,UNIT_TYPE,CLIMATE_REGION,DECADE_BUILT,FLOOR_AREA_log,COOL_TYPE,EQUIP_AGE,HEAT_TYPE,THERMOSTAT,HIGH_CEIL,ATTIC,BASEMENT,BEDROOMS,BATHROOMS,SIZEOFGARAGE,STORIES,OWNERSHIP,COOL_COST_log,HEAT_COST_log,WATERHEAT_COST_log,ELECT_COST_log,TOT_COST_log
2737,Attached house,Cold/Very Cold,1980-1989,7.7437032581737535,Individual,C: 5-9 yrs,Other individual,0.0,0.0,1.0,0.0,0-2,1.5-2,1.0,3,Owned,4.8235825629264,6.844634419154409,5.701446414858653,6.749087746852292,7.702022999192136
2738,Detached house,Hot-Dry/Mixed-Dry,2000-2009,8.08825472712243,Central,D: 10-14 yrs,Central furnace,1.0,1.0,1.0,0.0,3,1.5-2,2.0,1,Owned,6.70167777079372,5.56517153628838,5.352710850378369,6.89647185996165,7.7283717647878865
2739,Mobile home,Marine,1970-1979,7.167809184316444,Individual,D: 10-14 yrs,Central furnace,1.0,0.0,0.0,0.0,0-2,1.5-2,0.0,1,Owned,3.5186840771178223,5.850044981634453,5.927672414020202,7.343594390945284,7.740460033209293
2740,Detached house,Mixed-Humid,2000-2009,8.20166019080868,Central,C: 5-9 yrs,Central heat pump,1.0,1.0,1.0,0.0,4,2.5-3.5,3.0,Split-level,Owned,5.8546133643587845,6.490465534607312,6.739691593934882,8.153648993798933,8.58035764395379
2741,Apartment in bld with 5+ units,Cold/Very Cold,.<1950,6.790097235513905,Individual,F: +20 yrs,Other individual,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,3.219275744889528,4.9883896851489355,5.865504419979778,6.991121687805667,7.382939217227717
2742,Apartment in bld with 5+ units,Marine,1970-1979,6.734591659972948,Individual,C: 5-9 yrs,Other individual,0.0,1.0,0.0,0.0,0-2,0-1,0.0,1,Rented,1.9558604799084813,4.145196092379535,5.135798437050262,5.683341643751415,6.275006812370425
2743,Detached house,Hot-Humid,1960-1969,6.904750769961838,Central,D: 10-14 yrs,Central furnace,1.0,0.0,0.0,0.0,3,1.5-2,2.0,1,Owned,6.224281163117879,5.428819174612195,5.653050426249428,6.163693679620642,7.306585088773348
2744,Apartment in bld with 5+ units,Marine,1980-1989,6.429719478039138,None,B: 2-4 yrs,Other individual,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,0.0,3.5726264972896864,4.692264892839025,5.946676364317848,6.263760101881796
2745,Detached house,Mixed-Humid,1950-1959,7.311218384419629,Both central and individual,F: +20 yrs,Central water system,0.0,0.0,0.0,0.0,3,0-1,0.0,1,Rented,6.155579701959949,6.56625039983285,5.476798223956053,7.129009045777879,7.888244474180759
2746,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1960-1969,6.371611847231857,Individual,C: 5-9 yrs,Other individual,0.0,0.0,0.0,0.0,,0-1,0.0,1,Rented,4.130837198581126,3.6732580732109796,4.189654742026425,5.403262796069531,5.957752632622446
2747,Apartment in bld with 5+ units,Mixed-Humid,1980-1989,6.775366090936392,Central,C: 5-9 yrs,Central heat pump,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,4.257171777528256,4.511298970378021,5.855358414110991,6.72670091895511,7.202020633998076
2748,Detached house,Cold/Very Cold,1960-1969,7.6511201757027,Central,E: 15-19 yrs,Central furnace,1.0,0.0,1.0,1.0,3,1.5-2,0.0,1,Owned,4.031937102093484,6.667770710471901,5.1556587328104575,6.723628093020542,7.520370048650162
2749,Detached house,Hot-Humid,2000-2009,8.324821298768782,Central,C: 5-9 yrs,Central heat pump,1.0,1.0,0.0,0.0,3,1.5-2,2.0,1,Owned,6.443033675245955,4.809986820609417,5.716270836108562,6.186373219407408,7.338166626051371
2750,Attached house,Marine,1970-1979,6.375024819828097,Central,C: 5-9 yrs,Central furnace,1.0,0.0,0.0,0.0,3,0-1,1.0,1,Owned,3.3386125064705343,5.416678013132882,4.812997033190408,6.324950185423982,6.837053805809153
2751,Detached house,Marine,1980-1989,7.611842399580417,None,F: +20 yrs,Other individual,0.0,0.0,1.0,0.0,0-2,0-1,2.0,1,Owned,0.0,6.777737705657411,5.775979097535593,7.301377199246461,7.893900377816099
2752,Mobile home,Hot-Humid,2000-2009,7.822845290279774,Central,E: 15-19 yrs,Central furnace,0.0,0.0,0.0,0.0,4,2.5-3.5,0.0,1,Owned,4.640633850263661,4.714293613006445,5.015556498415324,7.003356325571526,7.288381097076656
2753,Mobile home,Cold/Very Cold,1970-1979,7.15305163493748,Individual,E: 15-19 yrs,Central furnace,0.0,0.0,0.0,0.0,3,1.5-2,0.0,1,Owned,4.185098925490565,5.641587871063083,5.73162459388429,6.243584206658708,7.0628597894825385
2754,Detached house,Cold/Very Cold,.<1950,7.902857191280582,Both central and individual,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,1.0,3,0-1,0.0,2,Owned,4.71330684459267,6.274328782398126,5.578974824062853,7.477021494246877,7.890193237333279
2755,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1990-1999,6.763884908562435,Central,E: 15-19 yrs,Central furnace,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Owned,4.743278588105721,4.327042326341122,5.201861530730407,5.746586503647766,6.525410816864686
2756,Detached house,Hot-Humid,2000-2009,8.099554282376364,Central,A: -2 yrs,Central heat pump,1.0,1.0,1.0,0.0,3,1.5-2,2.0,1,Owned,6.306548972120549,4.035655565873421,5.315026980110984,7.105769722455783,7.6128705553179365
2757,Mobile home,Hot-Humid,1990-1999,6.947937068614969,Individual,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,0.0,3,1.5-2,0.0,1,Rented,6.740673012103674,4.880298792368253,6.913876505987073,7.470486209817705,8.225877859998693
2758,Attached house,Hot-Dry/Mixed-Dry,1980-1989,6.977281341630747,Central,F: +20 yrs,Central heat pump,1.0,1.0,1.0,0.0,0-2,1.5-2,0.0,2,Owned,5.321056853517526,3.1488824530476656,5.498069458404876,6.5070836637080385,7.037905963447182
2759,Apartment in bld with 5+ units,Cold/Very Cold,2010-2015,6.342121418721152,Central,A: -2 yrs,Central water system,0.0,1.0,0.0,0.0,0-2,0-1,0.0,1,Rented,3.34603697048488,4.711690029365764,5.382382741665704,6.995949289718053,7.2768122482723685
2760,Detached house,Mixed-Humid,1950-1959,7.4127640174265625,Central,F: +20 yrs,Central furnace,0.0,0.0,1.0,0.0,3,0-1,0.0,1,Rented,5.509509786742492,6.386424670570999,5.671810095412929,6.799646545987636,7.613744644555378
2761,Detached house,Hot-Humid,2000-2009,7.077498053569231,Central,D: 10-14 yrs,Central furnace,1.0,1.0,1.0,0.0,3,1.5-2,2.0,1,Owned,5.870510865261174,5.878575765029364,5.5368617144382695,6.531795573631538,7.408069854722464
2762,Detached house,Mixed-Humid,2000-2009,8.546169299652755,Central,D: 10-14 yrs,Central heat pump,1.0,1.0,1.0,1.0,4,+3.5,3.0,2,Owned,5.702181193289227,7.55797408148616,6.643425083337678,8.373017924635837,8.89684532623096
2763,Apartment in bld with 2-4 units,Cold/Very Cold,.<1950,7.285506548522785,Individual,C: 5-9 yrs,Central water system,0.0,0.0,0.0,0.0,3,0-1,0.0,1,Rented,4.580160022983923,6.07619624426765,5.254365479018854,6.431250563394042,7.202102589302679
2764,Detached house,Hot-Humid,1980-1989,7.182352111885263,Central,B: 2-4 yrs,Central furnace,1.0,0.0,1.0,0.0,3,1.5-2,2.0,1,Owned,5.529825834193874,6.730433203926444,6.488688080455687,7.810717580644959,8.345495797805386
2765,Detached house,Hot-Humid,1980-1989,7.771910256435763,Central,F: +20 yrs,Central heat pump,0.0,1.0,1.0,0.0,4,2.5-3.5,2.0,1,Owned,6.317615848496421,5.411735333583594,5.582367852765768,6.932750284871436,7.633505168086095
2766,Detached house,Mixed-Humid,1980-1989,7.470224135899966,Individual,F: +20 yrs,Other individual,0.0,0.0,0.0,0.0,0-2,1.5-2,0.0,2,Owned,5.942536873484558,6.818869418973696,6.047726726116115,6.7681138293474365,7.85773994098011
2767,Detached house,Cold/Very Cold,.<1950,7.83399634170946,Individual,F: +20 yrs,Central furnace,0.0,0.0,1.0,1.0,3,1.5-2,0.0,2,Owned,4.092342559551428,7.081305143388968,5.3359021268753075,6.279459070741808,7.594663034752063
2768,Detached house,Hot-Dry/Mixed-Dry,1970-1979,7.581209826196346,Central,None,None,0.0,0.0,0.0,0.0,4,2.5-3.5,2.0,1,Rented,5.329234469182758,0.0,5.061138276269363,6.625233204148427,7.017443416959686
2769,Detached house,Cold/Very Cold,1960-1969,7.877397186353287,Central,D: 10-14 yrs,Central furnace,1.0,0.0,1.0,1.0,+4,1.5-2,2.0,1,Owned,4.5736795188967205,5.754412215607523,5.466159602077157,6.938798415946838,7.425095635717372
2770,Detached house,Mixed-Humid,1950-1959,7.300472814267799,Central,E: 15-19 yrs,Central furnace,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Owned,5.591248140435486,6.624397178010411,4.639185064575369,5.748819573130922,7.2693381592734525
2771,Detached house,Mixed-Humid,1980-1989,8.197263371414335,Central,D: 10-14 yrs,Central furnace,1.0,0.0,1.0,1.0,3,2.5-3.5,2.0,2,Owned,6.109203137332237,6.7056635743645385,5.081155886911374,6.906634651313434,7.793108338410014
2772,Apartment in bld with 5+ units,Cold/Very Cold,1980-1989,6.859614903654202,Individual,C: 5-9 yrs,Other individual,1.0,0.0,0.0,0.0,0-2,1.5-2,0.0,1,Rented,3.08922261664133,4.8727515867328695,4.143134726391533,6.410257115427008,6.710145449841071
2773,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,2000-2009,7.4318919168078,Central,C: 5-9 yrs,Central furnace,1.0,1.0,0.0,0.0,0-2,1.5-2,0.0,1,Rented,5.700878261508811,4.83477283236304,5.22805583350737,6.788825335878776,7.310710573474744
2774,Detached house,Cold/Very Cold,1970-1979,7.848153086199526,Individual,C: 5-9 yrs,Central furnace,0.0,0.0,1.0,1.0,0-2,1.5-2,0.0,2,Rented,4.759263721325492,6.670043626304996,4.798184372320789,6.678455315794011,7.505750767177959
2775,Apartment in bld with 5+ units,Marine,1960-1969,6.946975992135418,None,B: 2-4 yrs,Other individual,1.0,1.0,0.0,0.0,0-2,1.5-2,0.0,1,Rented,0.0,4.298916727950875,3.723763855967438,6.160806397453836,6.374769250546133
2776,Mobile home,Hot-Humid,2000-2009,7.104144092987527,Central,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,0.0,3,1.5-2,0.0,1,Owned,6.015791239099039,6.13352818637145,5.665526629201668,7.3015525822226195,7.878250064869804
2777,Detached house,Hot-Humid,1990-1999,7.275864600546533,Both central and individual,B: 2-4 yrs,Central heat pump,1.0,0.0,1.0,0.0,0-2,1.5-2,2.0,1,Owned,6.281892845227788,4.87420446406739,5.605507905387861,6.757432264289204,7.492771442921589
2778,Apartment in bld with 5+ units,Cold/Very Cold,1980-1989,6.546785410760524,Individual,F: +20 yrs,Other individual,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,3.0516399054922867,5.330639338010161,5.48968125132622,6.482877967352511,7.0217533830355485
2779,Detached house,Cold/Very Cold,2010-2015,8.634264863002075,Central,D: 10-14 yrs,Central furnace,1.0,1.0,1.0,1.0,4,2.5-3.5,3.0,1,Owned,4.996333509385396,6.2625026235314385,5.154504731182189,6.66162453502192,7.392912263999152
2780,Detached house,Hot-Humid,2000-2009,7.3031700512368,Central,D: 10-14 yrs,Central heat pump,1.0,1.0,1.0,0.0,4,1.5-2,1.0,1,Owned,6.790625779724312,4.186011750747925,6.7017883610385445,7.251167662687291,8.063327443264267
2781,Attached house,Hot-Dry/Mixed-Dry,1950-1959,6.47543271670409,None,E: 15-19 yrs,Other individual,1.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,0.0,3.1276373444339294,4.916617611990135,6.4434951243634675,6.666905900548995
2782,Apartment in bld with 2-4 units,Hot-Humid,1960-1969,6.419994928147142,None,None,None,0.0,0.0,0.0,0.0,,0-1,0.0,1,Rented,0.0,0.0,4.565701442077724,5.0238805208462765,5.509914513961874
2783,Detached house,Marine,.<1950,7.103322062526113,None,C: 5-9 yrs,Other individual,0.0,0.0,0.0,0.0,3,0-1,0.0,2,Owned,0.0,4.711330381816482,4.9459189793765646,6.090087415713065,6.538516019278017
2784,Detached house,Hot-Dry/Mixed-Dry,2010-2015,7.075808863978387,Central,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,0.0,3,1.5-2,2.0,1,Owned,5.6144775604287664,4.715816706075155,5.1553703572281036,6.807139046947619,7.286677897866055
2785,Apartment in bld with 5+ units,Cold/Very Cold,1980-1989,6.663132695990803,Central,E: 15-19 yrs,Central water system,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,4.180675151973121,4.422928625994308,4.377767577753498,5.62600109713617,6.220510644074805
2786,Apartment in bld with 2-4 units,Mixed-Humid,.<1950,7.256297239690681,Individual,C: 5-9 yrs,Central water system,1.0,1.0,0.0,0.0,3,1.5-2,0.0,1,Owned,5.850591988226566,6.692927059271641,5.3855953746550975,8.070359064197145,8.426745371158663
2787,Detached house,Cold/Very Cold,1950-1959,7.901377353792616,Central,C: 5-9 yrs,Central furnace,1.0,0.0,0.0,1.0,+4,1.5-2,0.0,1,Owned,5.9744201124987235,6.433293727952072,6.028615812738774,6.515601184933645,7.651215273415671
2788,Attached house,Cold/Very Cold,1970-1979,8.261268150577648,Individual,B: 2-4 yrs,Central furnace,1.0,0.0,1.0,1.0,0-2,0-1,1.0,1,Rented,3.908215767085192,6.270761563025323,6.479599677704267,6.968897413924375,7.7365035837936205
2789,Detached house,Hot-Humid,.<1950,7.409136443920128,Both central and individual,C: 5-9 yrs,Central furnace,0.0,0.0,1.0,0.0,4,2.5-3.5,0.0,1,Owned,6.9274892764723655,6.958115638321086,5.728930268188853,7.098730947361975,8.18497389819672
2790,Detached house,Cold/Very Cold,1960-1969,6.55250788703459,Central,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,4.549128795104466,5.6687423440109335,4.375505417683616,5.859218042946334,6.698452993856408
2791,Detached house,Hot-Dry/Mixed-Dry,1960-1969,7.335633981927201,Central,C: 5-9 yrs,Central furnace,0.0,0.0,0.0,0.0,3,1.5-2,2.0,1,Owned,5.324326185729087,6.009451802122369,5.479513290054481,6.979768916690571,7.562125248027408
2792,Attached house,Cold/Very Cold,1970-1979,7.218176838403408,Central,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,0.0,3,1.5-2,0.0,2,Owned,4.36118596880203,6.3766419102694245,4.982647257556087,6.424561034828461,7.26260756288478
2793,Detached house,Hot-Dry/Mixed-Dry,1980-1989,7.02197642307216,Central,C: 5-9 yrs,Central furnace,1.0,0.0,0.0,0.0,3,1.5-2,2.0,1,Rented,5.048765669457524,4.976043849326636,5.583421117985017,6.638777191324128,7.191331433678422
2794,Detached house,Marine,1960-1969,8.581669210600602,Central,A: -2 yrs,Central furnace,1.0,1.0,1.0,0.0,4,2.5-3.5,2.0,2,Owned,4.762857461823685,5.470293931287002,5.651927619113924,7.270312886079025,7.636969165578476
2795,Detached house,Cold/Very Cold,1970-1979,6.96979066990159,Central,A: -2 yrs,Central furnace,1.0,0.0,0.0,0.0,3,1.5-2,1.0,1,Owned,3.9636662385799846,6.647195385657495,4.673762977453703,6.971556028032799,7.5975217513826045
2796,Detached house,Mixed-Humid,2000-2009,6.874198495453294,Individual,B: 2-4 yrs,Other individual,0.0,0.0,0.0,0.0,3,1.5-2,0.0,1,Owned,5.1445249558680555,6.532319736075652,6.570476717368283,7.580674241695091,8.16880949418337
2797,Apartment in bld with 5+ units,Hot-Humid,1970-1979,6.453624998892692,Individual,C: 5-9 yrs,Other individual,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,5.244019563140188,4.051958845725663,4.810231229751535,6.11714961266022,6.709633554354074
2798,Apartment in bld with 2-4 units,Mixed-Humid,2000-2009,6.975413927455952,Central,C: 5-9 yrs,Central heat pump,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,4.788574489733284,5.149817358229593,5.371707223776088,6.615623320456725,7.1320421764269835
2799,Detached house,Cold/Very Cold,.<1950,7.692569648067906,Individual,B: 2-4 yrs,Other individual,0.0,0.0,1.0,1.0,3,1.5-2,1.0,1,Owned,4.090336540824562,6.997367437671824,6.058305104026791,6.868806528843562,7.839903611857085
2800,Attached house,Cold/Very Cold,2000-2009,7.639642287858013,Central,D: 10-14 yrs,Central furnace,0.0,1.0,1.0,1.0,0-2,1.5-2,0.0,2,Owned,5.156062318967165,6.492512525109876,4.827753580443738,6.521386666564961,7.399465359355733
2801,Detached house,Hot-Humid,2000-2009,8.056109659545061,Central,D: 10-14 yrs,Central heat pump,1.0,0.0,0.0,0.0,+4,2.5-3.5,2.0,2,Rented,6.004405451240783,4.289637185380534,5.788062346702788,7.213724124521058,7.677618100199606
2802,Detached house,Marine,2010-2015,7.73718007783463,None,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,0.0,4,2.5-3.5,2.0,Split-level,Owned,0.0,6.220112919056636,6.116532097257847,7.283413887507637,7.787382026484701
2803,Detached house,Mixed-Humid,1980-1989,7.392031567514591,Central,D: 10-14 yrs,Central furnace,1.0,0.0,1.0,0.0,3,1.5-2,2.0,Split-level,Owned,5.739149618493492,6.039397200863284,5.433503639103105,7.361426253606975,7.836160335219305
2804,Detached house,Marine,1970-1979,7.866722285136729,Central,E: 15-19 yrs,Central heat pump,1.0,0.0,1.0,0.0,3,2.5-3.5,2.0,1,Owned,3.838591727342263,4.678420647727684,5.146039931102459,6.4840396384551315,6.884916447078103
2805,Apartment in bld with 5+ units,Hot-Humid,1990-1999,6.568077911411976,Central,C: 5-9 yrs,Central furnace,0.0,1.0,0.0,0.0,0-2,0-1,0.0,1,Rented,4.788407989566399,5.3703589194130075,5.238355025375354,6.695230152128535,7.192144435733125
2806,Detached house,Cold/Very Cold,2000-2009,8.319473692442186,Central,D: 10-14 yrs,Central furnace,1.0,1.0,0.0,1.0,+4,2.5-3.5,3.0,2,Owned,5.463365594671535,6.127807608285275,5.169005630067697,6.798710205894033,7.475197503167024
2807,Detached house,Hot-Humid,1980-1989,7.145196134997171,Central,E: 15-19 yrs,Central furnace,0.0,0.0,1.0,0.0,3,1.5-2,1.0,1,Owned,5.939012687105558,5.6252802465012435,5.03967616288067,6.957326090747882,7.527874673008526
2808,Detached house,Mixed-Humid,2000-2009,7.533158807455563,Central,D: 10-14 yrs,Central heat pump,1.0,1.0,1.0,0.0,3,1.5-2,2.0,1,Rented,5.473446452760487,5.904625882475441,5.504965615333049,6.8206711720750235,7.4756339777067975
2809,Detached house,Cold/Very Cold,1950-1959,7.523481312573497,Central,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,1.0,0-2,0-1,0.0,1,Owned,3.6901286735143684,6.086229123552405,4.498809169996681,6.095441606230976,6.918250016074778
2810,Detached house,Cold/Very Cold,.<1950,8.799963219506997,Central,E: 15-19 yrs,Central furnace,1.0,1.0,1.0,1.0,4,1.5-2,0.0,2,Owned,6.477449172274942,6.300125025944954,5.340610278738288,6.760600073667265,7.724778009197623
2811,Apartment in bld with 2-4 units,Hot-Humid,1980-1989,6.88653164253051,Central,C: 5-9 yrs,Central heat pump,1.0,0.0,0.0,0.0,0-2,1.5-2,0.0,1,Rented,6.177964860723353,1.6409365794934714,4.952229043207861,6.0755069376827535,6.966712629320663
2812,Detached house,Mixed-Humid,1970-1979,7.616283561580385,Central,F: +20 yrs,Central furnace,0.0,1.0,0.0,0.0,3,2.5-3.5,1.0,Split-level,Owned,5.861697489048916,6.756397362425295,5.290083561620933,6.29432459904984,7.574409602483597
2813,Detached house,Mixed-Humid,1980-1989,8.116118431609365,Central,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,1.0,+4,2.5-3.5,2.0,2,Owned,5.871779704162003,6.529783735182895,5.342956068166417,6.904981435432742,7.715787968084954
2814,Apartment in bld with 5+ units,Hot-Humid,1980-1989,6.478509642208569,Central,B: 2-4 yrs,Central furnace,1.0,0.0,0.0,0.0,0-2,1.5-2,0.0,1,Rented,4.699388861227073,5.117694366389664,5.664799066677153,6.670005575278565,7.208422675991237
2815,Detached house,Marine,1960-1969,7.1308988302963465,None,F: +20 yrs,Other individual,1.0,0.0,1.0,1.0,3,2.5-3.5,2.0,1,Owned,0.0,7.008043954575901,5.925404869598472,7.709514682664154,8.218080706664265
2816,Mobile home,Mixed-Humid,1990-1999,5.993961427306569,Individual,B: 2-4 yrs,Other individual,1.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Owned,3.99341864363214,5.983432375410718,5.54067513678605,6.699389496580332,7.3230386960276395
2817,Detached house,Cold/Very Cold,1990-1999,7.650168700845001,Central,F: +20 yrs,Central furnace,1.0,0.0,0.0,1.0,+4,0-1,1.0,1,Owned,4.209457369322605,5.440814694776582,5.612142219101015,7.607540379722265,7.856319571406588
2818,Mobile home,Cold/Very Cold,1970-1979,7.090076835776092,Individual,F: +20 yrs,Central furnace,0.0,0.0,0.0,0.0,3,0-1,0.0,1,Owned,4.263665306838804,6.810682546794546,5.9822724287390665,6.747527839661248,7.706995207052721
2819,Detached house,Cold/Very Cold,1980-1989,7.951911381854188,Central,C: 5-9 yrs,Central furnace,1.0,1.0,1.0,0.0,4,2.5-3.5,2.0,2,Owned,5.458776676484857,6.374649962525065,4.487624622133048,7.621704587171346,7.989404504971786
2820,Apartment in bld with 2-4 units,Hot-Humid,1980-1989,6.840546529288687,Individual,None,None,0.0,0.0,0.0,0.0,,0-1,0.0,1,Rented,5.997322356592142,0.0,5.292953004048886,6.3253978490749025,7.054328752724003
2821,Detached house,Cold/Very Cold,1960-1969,7.643003635560718,Central,D: 10-14 yrs,Central furnace,1.0,0.0,1.0,1.0,4,2.5-3.5,0.0,1,Owned,5.050688993553429,6.665645500491627,5.59340941717483,6.9356816816229765,7.712027826467725
2822,Detached house,Cold/Very Cold,1990-1999,8.571870752706934,Central,F: +20 yrs,Central furnace,0.0,1.0,0.0,1.0,4,2.5-3.5,2.0,2,Owned,5.796361655949294,6.461436925865426,5.3234001469155,6.915931760266272,7.686791123191551
2823,Detached house,Mixed-Humid,1960-1969,8.038834757787749,Central,B: 2-4 yrs,Central heat pump,0.0,0.0,1.0,0.0,3,1.5-2,2.0,1,Owned,5.223378279883543,6.699586543342629,5.178012403504388,7.11433846119589,7.783819672231169
2824,Detached house,Hot-Dry/Mixed-Dry,1980-1989,7.764296006450518,Central,D: 10-14 yrs,Central heat pump,1.0,1.0,0.0,0.0,3,1.5-2,2.0,1,Owned,5.458350709533451,4.231349083214389,5.113612973052288,6.6966514583626235,7.151861568717042
2825,Detached house,Cold/Very Cold,1970-1979,7.7886260656250315,Central,E: 15-19 yrs,Central heat pump,1.0,0.0,1.0,1.0,3,1.5-2,0.0,1,Owned,4.382276603429089,6.528396417958452,5.30240898445129,7.230316924690538,7.759102074215627
2826,Apartment in bld with 5+ units,Mixed-Humid,2000-2009,6.3578422665081,Central,C: 5-9 yrs,Central heat pump,1.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,3.3586377672433594,4.59511985013459,5.257755754791914,6.174306801648666,6.680917412079656
2827,Detached house,Cold/Very Cold,1960-1969,7.610357618312838,Individual,A: -2 yrs,Central furnace,1.0,0.0,1.0,1.0,4,1.5-2,0.0,1,Owned,3.8636727444870993,6.169464278252913,5.163356381113919,6.7402474550312315,7.341542178594752
2828,Attached house,Cold/Very Cold,2000-2009,7.6624678152002375,Central,C: 5-9 yrs,Central furnace,1.0,1.0,0.0,1.0,4,2.5-3.5,2.0,2,Owned,4.609460967405248,6.040944949198878,4.3987608336650466,6.881903995391704,7.36108949229449
2829,Attached house,Cold/Very Cold,1990-1999,7.3453648404168685,Central,C: 5-9 yrs,Central furnace,0.0,1.0,0.0,1.0,0-2,2.5-3.5,2.0,1,Owned,4.316153890523174,6.267390283861161,4.615813346086571,6.926665351206777,7.449591078421984
2830,Apartment in bld with 2-4 units,Mixed-Humid,1960-1969,7.036148493750536,Central,B: 2-4 yrs,Central heat pump,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,4.866148875605322,5.350292928138379,5.592999878644562,6.662621709776312,7.236072928579534
2831,Detached house,Cold/Very Cold,.<1950,7.820439515262181,Central,F: +20 yrs,Central furnace,0.0,0.0,1.0,1.0,,0-1,0.0,2,Owned,5.064618301294311,7.2136062920492385,5.819548663027908,7.618123325586399,8.264790742884475
2832,Detached house,Marine,1970-1979,8.234564993267135,Individual,E: 15-19 yrs,Central furnace,1.0,0.0,1.0,0.0,4,1.5-2,2.0,1,Owned,4.180522258463153,6.0019840228981325,5.937694503898154,7.024951475815629,7.585804050042479
2833,Detached house,Marine,1950-1959,7.410347097821024,Individual,E: 15-19 yrs,Central furnace,1.0,0.0,0.0,0.0,4,1.5-2,2.0,1,Owned,4.868149645799501,5.7360883094081165,5.6405941527004435,7.923822565180131,8.155037541523727
2834,Detached house,Cold/Very Cold,2000-2009,7.916078096302786,Central,C: 5-9 yrs,Central furnace,1.0,0.0,0.0,1.0,4,2.5-3.5,2.0,2,Owned,4.697293474863897,6.017034823219512,5.421949926993312,6.771121937427571,7.387474062914442
2835,Detached house,Hot-Dry/Mixed-Dry,1980-1989,7.384610383176974,Central,E: 15-19 yrs,Central furnace,1.0,1.0,1.0,0.0,4,1.5-2,2.0,1,Rented,5.6765825547295465,5.185932235953246,5.541302760075785,6.968624576745324,7.487431364095237
2836,Detached house,Mixed-Humid,1960-1969,7.483806687665835,Central,E: 15-19 yrs,Central furnace,1.0,0.0,1.0,0.0,0-2,1.5-2,1.0,1,Owned,5.351336670523673,7.197225751293135,5.464594226173135,7.108334152046923,8.007000700512663
2837,Detached house,Hot-Humid,.<1950,8.332548939252638,Central,A: -2 yrs,Central furnace,1.0,1.0,1.0,0.0,4,1.5-2,0.0,1,Rented,4.95244104985153,5.294058309627653,5.083327979489696,6.131465591330798,6.8659849182380945
2838,Attached house,Cold/Very Cold,1990-1999,8.073091199693154,Central,E: 15-19 yrs,Central furnace,1.0,1.0,1.0,1.0,0-2,2.5-3.5,2.0,2,Owned,5.210905909537067,6.528191808396626,4.756602889748301,7.013429745352281,7.645985761780188
2839,Detached house,Hot-Humid,1950-1959,7.60489448081162,Individual,C: 5-9 yrs,Other individual,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Owned,5.2962652624219055,5.577879057767046,5.471303819864311,6.828625487806832,7.391902169124497
2840,Detached house,Cold/Very Cold,1970-1979,7.783640596221253,Individual,F: +20 yrs,Other individual,1.0,0.0,0.0,1.0,0-2,1.5-2,3.0,1,Owned,3.058237478905388,6.615784021111926,5.810691790303878,7.294913840107658,7.852330214734585
2841,Detached house,Marine,1990-1999,7.223295679562314,Both central and individual,C: 5-9 yrs,Central heat pump,1.0,1.0,0.0,0.0,3,1.5-2,2.0,1,Owned,3.8828001467512427,5.903889374852029,5.255931650051599,7.1065651532808936,7.508606233213457
2842,Attached house,Mixed-Humid,1970-1979,7.668561108015897,Central,E: 15-19 yrs,Central furnace,0.0,1.0,1.0,1.0,3,2.5-3.5,0.0,Split-level,Rented,5.301661767798426,6.928694514995793,6.042466549074014,7.617931636534944,8.209066205446636
2843,Detached house,Hot-Dry/Mixed-Dry,2000-2009,7.951911381854188,Central,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,0.0,4,2.5-3.5,2.0,2,Owned,4.841743157613962,4.71992642328628,5.364760323096751,6.190786606296189,6.843558032936929
